dosya,toplam_yorum,bilgilendirici_oran,eleştirel_oran,fanboy_oran,nötr_oran,şaka_oran,kişilik_profili
etiketli_Age_of_Empires_IV_Anniversary_Edition_yorumlar.csv,6671,0.5409983510718033,0.31974216759106583,0.013191425573377305,0.03762554339679208,0.08844251236696148,"Analitik ve sorgulayıcı, Paylaşımcı ve açıklayıcı"
etiketli_ARK_yorumlar.csv,6081,0.44762374609439237,0.39549416214438415,0.02220029600394672,0.034862687058049666,0.0998191086992271,"Analitik ve sorgulayıcı, Paylaşımcı ve açıklayıcı"
etiketli_Balatro_yorumlar.csv,7737,0.38529145663693937,0.4359570893111025,0.027788548533023136,0.04161819826806255,0.10934470725087243,Analitik ve sorgulayıcı
etiketli_Baldurs_gate_3_yorumlar.csv,7559,0.5875115756052388,0.26114565418706176,0.020902235745468976,0.033337743087710016,0.09710279137452044,Paylaşımcı ve açıklayıcı
etiketli_Battlefield_1_yorumlar.csv,6895,0.43683828861493834,0.4205946337926033,0.02233502538071066,0.03669325598259608,0.08353879622915156,"Analitik ve sorgulayıcı, Paylaşımcı ve açıklayıcı"
etiketli_Call_of_duty_Warzone_yorumlar.csv,7032,0.13680318543799772,0.6804607508532423,0.008105802047781569,0.048919226393629126,0.12571103526734925,Analitik ve sorgulayıcı
etiketli_Cities_Skylines_II_yorumlar.csv,8213,0.2944112991598685,0.5295263606477536,0.005235602094240838,0.04529404602459516,0.12553269207354195,Analitik ve sorgulayıcı
etiketli_Crusader_Kings_III_yorumlar.csv,7438,0.44393654208120464,0.37657972573272386,0.025006722237160526,0.037913417585372415,0.11656359236353858,"Analitik ve sorgulayıcı, Paylaşımcı ve açıklayıcı"
etiketli_CS_2_yorumlar.csv,5601,0.2613818960899839,0.5300839135868595,0.01535440099982146,0.045706123906445274,0.14747366541688983,Analitik ve sorgulayıcı
etiketli_Cyberpunk_2077_yorumlar.csv,7187,0.54904689021845,0.2942813413106999,0.01836649506052595,0.028384583275358286,0.10992069013496591,Paylaşımcı ve açıklayıcı
etiketli_Dead_by_daylight_yorumlar.csv,7160,0.3089385474860335,0.4861731843575419,0.015363128491620111,0.039385474860335196,0.15013966480446927,Analitik ve sorgulayıcı
etiketli_Dead_cells_yorumlar.csv,6438,0.4608574091332712,0.3631562597079838,0.012736874805840324,0.036968002485243866,0.12628145386766076,"Analitik ve sorgulayıcı, Paylaşımcı ve açıklayıcı"
etiketli_DOOM_eternal_yorumlar.csv,8034,0.3888473985561364,0.43963156584515806,0.013069454817027632,0.03273587254169778,0.12571570823998007,Analitik ve sorgulayıcı
etiketli_EA_SPORTS_FC_25_yorumlar.csv,6550,0.210381679389313,0.630381679389313,0.01618320610687023,0.05526717557251908,0.08778625954198473,Analitik ve sorgulayıcı
etiketli_Elden_ring_yorumlar.csv,7054,0.48483130138928265,0.3650411114261412,0.016302806918060676,0.03274737737453927,0.10107740289197618,"Analitik ve sorgulayıcı, Paylaşımcı ve açıklayıcı"
etiketli_Escape_the_backrooms_yorumlar.csv,6225,0.42939759036144576,0.3747791164658634,0.015421686746987951,0.03823293172690763,0.14216867469879518,"Analitik ve sorgulayıcı, Paylaşımcı ve açıklayıcı"
etiketli_Europa_Universalis_IV_yorumlar.csv,7299,0.4632141389231402,0.38060008220304153,0.01726263871763255,0.05041786546102206,0.08850527469516373,"Analitik ve sorgulayıcı, Paylaşımcı ve açıklayıcı"
etiketli_Euro_Truck_Simulator_2_yorumlar.csv,6491,0.49576336465875825,0.30965952857803114,0.028192882452626713,0.04421506701586812,0.12216915729471577,"Analitik ve sorgulayıcı, Paylaşımcı ve açıklayıcı"
etiketli_Expedition_33_yorumlar.csv,8403,0.6614304415089849,0.20790193978341068,0.006783291681542306,0.02296798762346781,0.10091633940259431,Paylaşımcı ve açıklayıcı
